id,title,authors,year,venue,database,search_string,doi,url,abstract,notes
1,Mutation-Guided Unit Test Generation with a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel C. Briand, Kui Liu",2026,IEEE Transactions on Software Engineering,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1109/TSE.2026.3682975,https://ieeexplore.ieee.org/document/10.1109/TSE.2026.3682975,"Introduces MUTGEN, a mutation-guided LLM-based framework that incorporates feedback about live/uncovered mutants directly into prompts. Evaluated on 204 subjects across two benchmarks; significantly outperforms EvoSuite and vanilla LLM prompting in mutation score.",Included
2,Systematic Literature Review on LLMs for Unit Test Generation (arXiv:2506.02954),Various (SLR authors),2025,arXiv (preprint),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),N/A,https://arxiv.org/abs/2506.02954,Covers 115 publications on LLM-based unit test generation; discusses branch coverage and mutation score improvements across studies. No original experimental results â€” purely a survey.,Excluded - Survey/SLR with no own experimental results; not peer-reviewed (preprint)
3,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"Max Schäfer, Sarah Nadi, Aryaz Eghbali, Frank Tip",2024,IEEE Transactions on Software Engineering,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1109/TSE.2023.3334955,https://arxiv.org/abs/2302.06527,"Large-scale empirical evaluation of LLMs (TestPilot) for JavaScript unit test generation. Evaluates branch and statement coverage across 25 npm packages; outperforms traditional feedback-directed generation. Published in IEEE TSE Vol. 50 No. 1 (2024), pp. 85-105.",Included
4,CODAMOSA: Escaping Coverage Plateaus in Test Generation with Pre-Trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,ICSE 2023 (IEEE/ACM International Conference on Software Engineering),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1109/ICSE48619.2023.00085,https://ieeexplore.ieee.org/document/10172800,Hybrid approach combining SBST with LLM (Codex) to escape coverage plateaus. Evaluated on 486 Python modules; achieves statistically significantly higher branch and statement coverage vs. pure SBST and LLM-only baselines.,Included
5,Effective Test Generation Using Pre-Trained Large Language Models and Mutation Testing (MuTAP),"Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, Foutse Khomh, Michel C. Desmarais",2024,Information and Software Technology,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1016/j.infsof.2024.107468,https://arxiv.org/abs/2308.16557,"Introduces MuTAP, which augments LLM prompts with surviving mutant information to iteratively improve test fault-detection. Achieves mutation score of 93.57% on synthetic buggy code; detects 28% more faulty code snippets than baseline approaches.",Included
6,ChatUniTest: A Framework for LLM-Based Test Generation,"Yinghao Chen, Zehao Hu, Chen Zhi, Junxiao Han, Shuiguang Deng, Jianwei Yin",2024,FSE Companion 2024 (ACM),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3663529.3663801,https://arxiv.org/abs/2305.04764,Generation-Validation-Repair framework using adaptive focal context with ChatGPT. Evaluates branch and line coverage on Java projects; improves average branch coverage from EvoSuite's 86.59% to 90.6% and line coverage from 80.02% to 89.36%.,Included
7,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Wendkûuni C. Ouédraogo, Kader Kabore, Haoye Tian, Yewei Song, Anil Koyuncu, Jacques Klein, David Lo, TÃ©gawendÃ© F. BissyandÃ©",2024,ASE 2024 (IEEE/ACM International Conference on Automated Software Engineering),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3691620.3695330,https://dl.acm.org/doi/10.1145/3691620.3695330,Large-scale evaluation of various LLMs and prompt engineering strategies for Java unit test generation. Compares branch coverage and quality metrics against EvoSuite baseline across thousands of Java classes.,Included
8,HITS: High-Coverage LLM-Based Unit Test Generation via Method Slicing,"Zejun Wang, Kaibo Liu, Ge Li, Zhi Jin",2024,ASE 2024 (IEEE/ACM International Conference on Automated Software Engineering),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3691620.3695022,https://arxiv.org/abs/2408.11324,"Proposes method slicing to decompose complex methods into simpler slices before prompting LLMs, specifically to achieve high branch coverage in generated test suites. Evaluated on Java projects with coverage metrics.",Included
9,CoverUp: Effective High Coverage Test Generation for Python,"Juan Altmayer Pizzorno, Emery D. Berger",2025,Proceedings of the ACM on Software Engineering (FSE 2025),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3729398,https://arxiv.org/abs/2403.16218,Coverage-guided LLM test generation for Python using iterative feedback loops on uncovered lines and branches. Achieves 80% per-module median line+branch coverage (vs. 47% for CodaMosa); 89% overall coverage (vs. 77% for MuTAP).,Included
10,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,"Kush Jain, Gabriel Synnaeve, Baptiste RoziÃ¨re",2025,ICLR 2025,Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.48550/arXiv.2410.00752,https://arxiv.org/abs/2410.00752,Benchmark of 68647 tests across 1210 code-test file pairs from 11 Python repos. Evaluates LLMs using coverage improvement and mutation score. First benchmark to incorporate mutation score for LLM-generated test evaluation; finds GPT-4o averages only 35.2% coverage.,Included
11,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,"Arkadii Sapozhnikov, Mitchell Olsthoorn, Annibale Panichella, Vladimir Kovalenko, Pouria Derakhshanfar",2024,ICSE Companion 2024 (IEEE/ACM),Semantic Scholar,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),10.1145/3639478.3640024,https://arxiv.org/abs/2401.12200,IntelliJ IDEA plugin integrating EvoSuite (SBST) and LLM-based unit test generation with compilation feedback loop. Experimental comparison shows LLM-based approaches outperform traditional tools in mutation score while SBST excels in line/branch coverage.,Included
